"","ccid","wbid"
"1629","CHS 1268","WBGene00005331"
"1630","CHS 1269","WBGene00005066"
"1631","CHS 1269","WBGene00005067"
"1632","CHS 1269","WBGene00005068"
"1633","CHS 1269","WBGene00005070"
"1634","CHS 1269","WBGene00019027"
"1635","CHS 1269","WBGene00019028"
"1636","CHS 1270","WBGene00005569"
"1637","CHS 1270","WBGene00005573"
"1638","CHS 1270","WBGene00005574"
"1639","CHS 1270","WBGene00005575"
"1640","CHS 1270","WBGene00005577"
"1641","CHS 1270","WBGene00005590"
"1642","CHS 1270","WBGene00005566"
"1643","CHS 1270","WBGene00005572"
"1644","CHS 1270","WBGene00045304"
"1645","CHS 1271","WBGene00005382"
"1646","CHS 1271","WBGene00005383"
"1647","CHS 1271","WBGene00005385"
"1648","CHS 1271","WBGene00005362"
"1649","CHS 1271","WBGene00005363"
"1650","CHS 1271","WBGene00005364"
"1651","CHS 1271","WBGene00005365"
"1652","CHS 1271","WBGene00005370"
"1653","CHS 1271","WBGene00005375"
"1654","CHS 1271","WBGene00005386"
"1655","CHS 1271","WBGene00005387"
"1656","CHS 1271","WBGene00005388"
"1657","CHS 1271","WBGene00005389"
"1658","CHS 1271","WBGene00005390"
"1659","CHS 1271","WBGene00005392"
"1660","CHS 1271","WBGene00005393"
"1661","CHS 1271","WBGene00005394"
"1662","CHS 1271","WBGene00005395"
"1663","CHS 1271","WBGene00005396"
"1664","CHS 1271","WBGene00005397"
"1665","CHS 1271","WBGene00005398"
"1666","CHS 1271","WBGene00005399"
"1667","CHS 1271","WBGene00010261"
"1668","CHS 1272","WBGene00018058"
"1669","CHS 1272","WBGene00015438"
"1670","CHS 1272","WBGene00018053"
"1671","CHS 1272","WBGene00020874"
"1672","CHS 1272","WBGene00016472"
"1673","CHS 1272","WBGene00015961"
"1674","CHS 1272","WBGene00015962"
"1675","CHS 1272","WBGene00015960"
"1676","CHS 1272","WBGene00015959"
"1677","CHS 1272","WBGene00015958"
"1678","CHS 1273","WBGene00005295"
"1679","CHS 1273","WBGene00005296"
"1680","CHS 1273","WBGene00005297"
"1681","CHS 1273","WBGene00005299"
"1682","CHS 1273","WBGene00005300"
"1683","CHS 1273","WBGene00005301"
"1684","CHS 1273","WBGene00005303"
"1685","CHS 1273","WBGene00005304"
"1686","CHS 1273","WBGene00005306"
"1687","CHS 1273","WBGene00005308"
"1688","CHS 1273","WBGene00005309"
"1689","CHS 1274","WBGene00011192"
"1690","CHS 1274","WBGene00005249"
"1691","CHS 1274","WBGene00005250"
"1692","CHS 1274","WBGene00005251"
"1693","CHS 1274","WBGene00005253"
"1694","CHS 1274","WBGene00005254"
"1695","CHS 1274","WBGene00005255"
"1696","CHS 1274","WBGene00005269"
"1697","CHS 1274","WBGene00005270"
"1698","CHS 1275","WBGene00003232"
"1699","CHS 1275","WBGene00003233"
"1700","CHS 1275","WBGene00021152"
"1701","CHS 1275","WBGene00016242"
"1702","CHS 1275","WBGene00018073"
"1703","CHS 1276","WBGene00006174"
"1704","CHS 1276","WBGene00006175"
"1705","CHS 1276","WBGene00006176"
"1706","CHS 1276","WBGene00006178"
"1707","CHS 1276","WBGene00006179"
"1708","CHS 1276","WBGene00006180"
"1709","CHS 1276","WBGene00006182"
"1710","CHS 1276","WBGene00006183"
"1711","CHS 1276","WBGene00006184"
"1712","CHS 1276","WBGene00006192"
"1713","CHS 1276","WBGene00011518"
"1714","CHS 1277","WBGene00016051"
"1715","CHS 1277","WBGene00016049"
"1716","CHS 1277","WBGene00016050"
"1717","CHS 1277","WBGene00019966"
"1718","CHS 1277","WBGene00019740"
"1719","CHS 1277","WBGene00008268"
"1720","CHS 1277","WBGene00009603"
"1721","CHS 1277","WBGene00018826"
"1722","CHS 1277","WBGene00044002"
"1723","CHS 1277","WBGene00018555"
"1724","CHS 1277","WBGene00018556"
"1725","CHS 1277","WBGene00018559"
"1726","CHS 1277","WBGene00018557"
"1727","CHS 1277","WBGene00012242"
"1728","CHS 1277","WBGene00021169"
"1729","CHS 1277","WBGene00018114"
"1730","CHS 1278","WBGene00006126"
"1731","CHS 1278","WBGene00006127"
"1732","CHS 1278","WBGene00006128"
"1733","CHS 1278","WBGene00006125"
"1734","CHS 1278","WBGene00006129"
"1735","CHS 1278","WBGene00006130"
"1736","CHS 1278","WBGene00006131"
"1737","CHS 1278","WBGene00008058"
"1738","CHS 1278","WBGene00013571"
"1739","CHS 1278","WBGene00006117"
"1740","CHS 1278","WBGene00006124"
"1741","CHS 1278","WBGene00006133"
"1742","CHS 1278","WBGene00006134"
"1743","CHS 1278","WBGene00006135"
"1744","CHS 1278","WBGene00006137"
"1745","CHS 1278","WBGene00268198"
"1746","CHS 1278","WBGene00006136"
"1747","CHS 1278","WBGene00021228"
